date,cpi all items,cpi all less food and energy,cpi gasoline
01/2018,248.859,255.204,235.325
02/2018,249.529,255.711,239.767
03/2018,249.577,256.271,231.325
04/2018,250.227,256.630,238.803
05/2018,250.792,257.145,242.344
06/2018,251.018,257.399,243.105
07/2018,251.214,257.699,241.377
08/2018,251.663,257.891,246.229
09/2018,252.182,258.368,250.369
10/2018,252.772,258.917,253.471
11/2018,252.594,259.439,238.309
12/2018,252.767,260.063,225.063
01/2019,252.561,260.766,208.730
02/2019,253.319,261.186,217.237
03/2019,254.277,261.567,230.013
04/2019,255.233,261.997,245.651
05/2019,255.296,262.217,242.557
06/2019,255.213,262.739,231.691
07/2019,255.802,263.280,235.098
08/2019,256.036,263.877,229.734
09/2019,256.430,264.388,228.230
10/2019,257.155,264.970,232.348
11/2019,257.879,265.548,236.924
12/2019,258.630,266.020,244.197
01/2020,258.906,266.698,236.879
02/2020,259.246,267.402,229.731
03/2020,258.150,267.068,206.071
04/2020,256.126,265.796,166.640
05/2020,255.848,265.461,160.740
06/2020,257.004,265.839,177.312
07/2020,258.408,267.373,186.943
08/2020,259.366,268.390,190.490
09/2020,259.951,268.900,192.669
10/2020,260.249,269.280,190.486
11/2020,260.895,269.967,191.456
12/2020,262.005,270.340,207.640
01/2021,262.518,270.422,217.944
02/2021,263.583,270.813,233.448
03/2021,264.910,271.461,251.459
04/2021,266.752,273.665,249.270
05/2021,268.452,275.494,251.062
06/2021,270.664,277.585,257.683
07/2021,271.994,278.612,263.835
08/2021,272.789,278.993,270.649
09/2021,273.887,279.710,273.321
10/2021,276.434,281.623,284.966
11/2021,278.799,283.393,302.783
12/2021,280.808,285.221,312.089
01/2022,282.390,286.811,307.114
02/2022,284.535,288.287,322.941
03/2022,287.553,289.041,370.978
04/2022,288.764,290.515,358.023
05/2022,291.359,292.072,373.180
06/2022,294.996,293.972,411.984
07/2022,294.977,295.055,378.082
08/2022,295.209,296.569,339.037
09/2022,296.341,298.284,322.713
10/2022,297.863,299.351,335.141
11/2022,298.648,300.292,333.999
12/2022,298.812,301.423,308.222
01/2023,300.356,302.709,313.215
02/2023,301.509,304.124,316.804
03/2023,301.744,305.112,305.708
04/2023,303.032,306.539,314.286
05/2023,303.365,307.646,300.042
06/2023,304.003,308.245,302.412
07/2023,304.628,308.945,301.784
08/2023,306.187,309.656,326.825
09/2023,307.288,310.644,332.019
10/2023,307.531,311.390,317.678
11/2023,308.024,312.349,304.982
12/2023,308.742,313.209,303.242
01/2024,309.685,314.438,293.287
02/2024,311.054,315.565,304.302
03/2024,312.230,316.698,309.587
04/2024,313.207,317.622,318.186
05/2024,313.225,318.140,306.599
06/2024,313.049,318.346,294.968
