Modelo,Marca,Ano,Direcao,Cor,Combustivel,Tipo,Kms,Motor,Preco,Região,Cambio
mitsubishi pajero sport hpe-s 2.4 4x4 diesel aut,mitsubishi,2022,hidraulica,preto,diesel,suv,545500,2.0 - 2.9,288900,rio de janeiro,automatico
toyota corolla cross xre 2.0 16v flex aut,toyota,2023,eletrica,preto,flex,suv,43000,2.0 - 2.9,144890,rio de janeiro,automatico
chevrolet hatch premier 1.0 12v tb flex aut. 4p,chevrolet,2024,eletrica,vermelho,flex,seda,5178,1.0,118690,rio de janeiro,automatico
ford ka 1.0 8v/1.0 8v st flex 3p,ford,2013,hidraulica,preto,flex,hatch,98000,1.0,23999,rio de janeiro,manual
mitsubishi asx 2.0 16v 4x4 flex aut.,mitsubishi,2018,hidraulica,prata,gasolina,suv,52000,2.0 - 2.9,92900,rio de janeiro,automatico
ford ranger xls 2.5 16v 4x2 cd flex,ford,2013,hidraulica,azul,flex,pick-up,99000,2.0 - 2.9,63900,rio de janeiro,manual
chevrolet onix hatch lt 1.0 8v flexpower 5p mec.,chevrolet,2022,eletrica,prata,flex,hatch,60336,1.0,73940,bahia,manual
renault captur intense 1.3 tb 16v flex 5p aut,renault,2023,eletrica,outra,flex,suv,38936,1.3,105460,bahia,automatico
volkswagen t-cross 1.0 tsi flex 12v 5p aut.,volkswagen,2023,eletrica,branco,flex,suv,15261,1.0,105600,bahia,automatico
volkswagen t-cross highline 1.4 tsi flex 16v 5p aut,volkswagen,2021,eletrica,preto,flex,suv,44634,1.4,115890,rio de janeiro,automatico
chevrolet s10 pick-up ls 2.8 tdi 4x4 cd dies. mec.,chevrolet,2023,eletrica,branco,diesel,pick-up,15467,2.0 - 2.9,168990,rio de janeiro,manual
ford ka 1.0 sel tivct flex 5p,ford,2015,hidraulica,prata,flex,hatch,150000,1.0,11500,rio de janeiro,manual
peugeot 2008 allure pack 1.6 flex 16v aut.,peugeot,2022,eletrica,cinza,flex,suv,35000,1.6,79890,rio de janeiro,automatico
nissan kicks active 1.6 16v flex aut.,nissan,2024,eletrica,cinza,flex,suv,0,1.6,2399,rio de janeiro,automatico
mini 1.5 12v twinpower gasolina 4p steptronic,mini,2019,eletrica,verde,gasolina,hatch,61613,1.5,119990,rio de janeiro,automatico
